title,genre,director,production_company,release_date,budget,runtime,mpaa_rating,trailer_views,trailer_likes,cast_popularity_score,vote_average,vote_count,revenue,release_year,release_month,budget_to_runtime_ratio,trailer_engagement_rate
The Adventure,Fantasy,David Fincher,MGM,2017-07-20,198606381,93,R,35169902,940628,5.82,8.3,63236,44621586377,2017,7,2135552.4838709678,0.026745255076343403
A Journey,Thriller,Martin Scorsese,Universal Pictures,2017-05-17,30867257,98,PG-13,28512208,374500,7.15,5.0,83211,614156020,2017,5,314972.01020408166,0.013134724606386148
The Secret,Animation,Greta Gerwig,DreamWorks,2023-10-07,61316931,97,PG,10142326,161546,6.29,7.8,14133,1885256074,2023,10,632133.3092783506,0.015927904506323302
The Storm Fire,Comedy,Greta Gerwig,MGM,2022-08-20,98101637,115,G,26661201,1215296,3.98,5.2,98746,1678299775,2022,8,853057.7130434783,0.045582942793912395
The Past Storm,Thriller,Unknown Director C,Sony Pictures,2018-01-08,60938288,128,PG-13,12712150,351728,9.22,6.0,64499,1339697331,2018,1,476080.375,0.027668647711048093
Fire Love,Drama,Unknown Director D,Marvel Studios,2017-10-18,9438720,149,G,24284362,927307,3.47,8.1,67207,149791636,2017,10,63347.11409395973,0.03818535566221588
The Queen,Adventure,James Cameron,Marvel Studios,2019-05-03,93328101,100,PG,14954619,536798,7.1,5.3,54674,15985482139,2019,5,933281.01,0.035895130461030135
Empire,Horror,David Fincher,20th Century Fox,2024-07-20,51802956,119,R,14743761,422672,7.09,8.1,53055,2181683869,2024,7,435318.9579831933,0.028667854830256675
An Legend Hero,Romance,Unknown Director D,Paramount,2017-12-05,93062882,135,PG-13,12740631,203814,7.89,8.5,79647,2805641151,2017,12,689354.6814814815,0.015997166859318037
An Sun Kingdom,Romance,Unknown Director B,Disney,2022-09-12,76757508,130,R,45188330,1099878,3.7,4.8,87194,944111850,2022,9,590442.3692307692,0.02433986828015109
The King Love,Horror,David Fincher,Sony Pictures,2019-03-03,39971668,127,R,31222448,1375303,5.23,8.3,77490,3190558746,2019,3,314737.5433070866,0.044048532004921585
Hero,Animation,Denis Villeneuve,Universal Pictures,2018-07-19,29207075,139,G,32820996,764899,9.88,5.6,8603,801252862,2018,7,210122.8417266187,0.02330517331040167
An Secret Storm,Sci-Fi,Christopher Nolan,Marvel Studios,2020-12-26,133529855,166,PG-13,1044699,47722,7.81,6.7,3348,7787633509,2020,12,804396.7168674698,0.04568014327571865
The Knight Fire,Fantasy,Greta Gerwig,DreamWorks,2018-10-15,166411123,146,PG,23100411,1151452,5.41,7.8,22611,3899283836,2018,10,1139802.2123287672,0.04984552006455643
The Sun Fire,Horror,Unknown Director C,DreamWorks,2021-12-27,11521231,128,PG-13,44524049,637786,8.53,4.2,16176,624652104,2021,12,90009.6171875,0.014324528301547778
Shadow Love,Comedy,David Fincher,Warner Bros,2020-09-26,87906016,97,PG-13,7751252,320827,5.48,7.0,35471,1437883841,2020,9,906247.587628866,0.04139034571447296
An Quest Kingdom,Adventure,Unknown Director D,MGM,2022-07-03,71317520,99,G,34439964,447785,7.51,8.5,85454,1150219010,2022,7,720378.9898989899,0.013001900931139185
An Princess Mountain,Action,Christopher Nolan,Universal Pictures,2022-06-10,253731059,100,PG-13,24093257,1103015,9.6,5.3,97084,14603939343,2022,6,2537310.59,0.04578106646187354
The Magic,Action,Unknown Director D,Universal Pictures,2016-02-29,161676588,148,R,38281147,1421598,2.63,5.9,48002,2336497127,2016,2,1092409.3783783785,0.03713572114231582
A Quest Love,Fantasy,Unknown Director C,MGM,2023-02-12,110125492,132,PG-13,34936189,1080371,7.31,4.5,87732,7525498862,2023,2,834284.0303030303,0.030924122834348075
A Knight Empire,Thriller,Unknown Director D,Universal Pictures,2015-11-03,70987872,110,PG-13,22305976,1088661,1.45,5.1,85320,1849832819,2015,11,645344.2909090909,0.04880579984484875
The Fire,Action,Jordan Peele,DreamWorks,2015-01-01,74399587,140,PG-13,34213968,1111724,6.89,6.3,45676,1589187428,2015,1,531425.6214285714,0.03249327876848426
An War,Romance,Ridley Scott,Paramount,2021-02-21,75059652,113,G,3172116,145521,5.43,8.1,98322,2383499000,2021,2,664244.7079646018,0.045875056271586535
An Storm Dragon,Animation,Steven Spielberg,Lions Gate,2020-02-17,256753123,127,G,33575823,341583,7.63,6.8,57729,64926856798,2020,2,2021678.1338582677,0.01017348107892992
Journey,Sci-Fi,David Fincher,MGM,2022-10-07,116636093,137,R,23108864,1128167,5.08,4.7,55099,7218044174,2022,10,851358.3430656934,0.04881966504281647
An King Secret,Comedy,Unknown Director B,Universal Pictures,2020-08-25,77811973,134,PG-13,47770964,698230,4.17,6.4,75794,2314291620,2020,8,580686.3656716418,0.014616200753244168
Kingdom Fire,Horror,Unknown Director C,Universal Pictures,2018-03-19,96723097,106,PG-13,4262952,160388,3.66,7.8,5234,2350400933,2018,3,912482.0471698113,0.037623693628265106
A Future,Action,David Fincher,20th Century Fox,2019-09-03,133927412,125,G,970082,38557,2.83,8.3,59073,11547152070,2019,9,1071419.296,0.03974612455441911
The Sun,Comedy,Martin Scorsese,DreamWorks,2016-05-03,55626689,92,R,18830905,607559,2.17,6.9,34425,2413024858,2016,5,604637.9239130435,0.032263929959818714
A Star Knight,Adventure,Unknown Director C,Sony Pictures,2020-11-22,34522801,101,G,33999395,556733,5.89,6.0,46796,1154262366,2020,11,341809.9108910891,0.01637479137496417
